herd_id	species_short	cohort_short	cohort_duration_days	offtake_rate	death_rate	high_activity_fraction	low_activity_fraction	nondemo_productive_phase_id
1	"CTL"	"FA"	989	0	0.031	3.6e-05	1.66e-06	NA
1	"CTL"	"FJ"	60	0.247	0.067	3.6e-05	1.66e-06	NA
1	"CTL"	"FS"	710	0.247	0.031	3.6e-05	1.66e-06	NA
1	"CTL"	"MA"	823	0	0.031	3.6e-05	1.66e-06	NA
1	"CTL"	"MJ"	60	0.949	0.067	3.6e-05	1.66e-06	NA
1	"CTL"	"MN"	NA	NA	0.1	3.6e-05	1.66e-06	1
1	"CTL"	"MN"	NA	NA	0.1	3.6e-05	1.66e-06	2
1	"CTL"	"MS"	710	0.949	0.031	3.6e-05	1.66e-06	NA
2	"CTL"	"FA"	5000	0	0.05	0.6	0.0465	NA
2	"CTL"	"FJ"	60	0.661	0.07	0.6	0.0465	NA
2	"CTL"	"FS"	1400	0.661	0.05	0.6	0.0465	NA
2	"CTL"	"MA"	1820	0	0.05	0.6	0.0465	NA
2	"CTL"	"MJ"	60	0.783	0.07	0.6	0.0465	NA
2	"CTL"	"MS"	1400	0.783	0.05	0.6	0.0465	NA
3	"SHP"	"FA"	1110	0	0.065	0.226	0.133	NA
3	"SHP"	"FJ"	60	0.453	0.171	0.226	0.133	NA
3	"SHP"	"FS"	448	0.453	0.065	0.226	0.133	NA
3	"SHP"	"MA"	2090	0	0.065	0.226	0.133	NA
3	"SHP"	"MJ"	60	0.913	0.171	0.226	0.133	NA
3	"SHP"	"MS"	448	0.913	0.065	0.226	0.133	NA
4	"SHP"	"FA"	2430	0	0.0309	0.478	0.0218	NA
4	"SHP"	"FJ"	60	0.543	0.101	0.478	0.0218	NA
4	"SHP"	"FS"	669	0.543	0.0309	0.478	0.0218	NA
4	"SHP"	"MA"	2680	0	0.0309	0.478	0.0218	NA
4	"SHP"	"MJ"	60	0.836	0.101	0.478	0.0218	NA
4	"SHP"	"MS"	669	0.836	0.0309	0.478	0.0218	NA
5	"GTS"	"FA"	2230	0	0.02	0.245	0.109	NA
5	"GTS"	"FJ"	60	0.737	0.05	0.245	0.109	NA
5	"GTS"	"FS"	415	0.737	0.02	0.245	0.109	NA
5	"GTS"	"MA"	1540	0	0.02	0.245	0.109	NA
5	"GTS"	"MJ"	60	0.974	0.05	0.245	0.109	NA
5	"GTS"	"MS"	415	0.974	0.02	0.245	0.109	NA
6	"GTS"	"FA"	2110	0	0.127	0	0.75	NA
6	"GTS"	"FJ"	60	0.359	0.33	0	0.75	NA
6	"GTS"	"FS"	564	0.359	0.127	0	0.75	NA
6	"GTS"	"MA"	2600	0	0.127	0	0.75	NA
6	"GTS"	"MJ"	60	0.644	0.33	0	0.75	NA
6	"GTS"	"MS"	600	0.644	0.127	0	0.75	NA
7	"BFL"	"FA"	3650	0	0.04	0.0189	0.0111	NA
7	"BFL"	"FJ"	60	0.664	0.08	0.0189	0.0111	NA
7	"BFL"	"FS"	974	0.664	0.04	0.0189	0.0111	NA
7	"BFL"	"MA"	1170	0	0.04	0.0189	0.0111	NA
7	"BFL"	"MJ"	60	0.906	0.08	0.0189	0.0111	NA
7	"BFL"	"MS"	974	0.906	0.04	0.0189	0.0111	NA
8	"BFL"	"FA"	1830	0	0.1	0.0431	0.157	NA
8	"BFL"	"FJ"	60	0.134	0.24	0.0431	0.157	NA
8	"BFL"	"FS"	1400	0.134	0.1	0.0431	0.157	NA
8	"BFL"	"MA"	2430	0	0.1	0.0431	0.157	NA
8	"BFL"	"MJ"	60	0.862	0.53	0.0431	0.157	NA
8	"BFL"	"MS"	1400	0.862	0.1	0.0431	0.157	NA
9	"PGS"	"FA"	890	0	0.0603	0	0	NA
9	"PGS"	"FJ"	27	0.948	0.13	0	0	NA
9	"PGS"	"FN"	NA	NA	0.1	0	0	1
9	"PGS"	"FN"	NA	NA	0.1	0	0	2
9	"PGS"	"FS"	359	0.948	0.0509	0	0	NA
9	"PGS"	"MA"	890	0	0.0603	0	0	NA
9	"PGS"	"MJ"	27	0.973	0.13	0	0	NA
9	"PGS"	"MN"	NA	NA	0.1	0	0	1
9	"PGS"	"MN"	NA	NA	0.1	0	0	2
9	"PGS"	"MS"	359	0.973	0.0516	0	0	NA
10	"PGS"	"FA"	3650	0	0.02	0	0.2	NA
10	"PGS"	"FJ"	90	0.952	0.22	0	0.2	NA
10	"PGS"	"FN"	NA	NA	0.1	0	0.2	1
10	"PGS"	"FN"	NA	NA	0.1	0	0.2	2
10	"PGS"	"FS"	340	0.952	0.031	0	0.2	NA
10	"PGS"	"MA"	3650	0	0.02	0	0.2	NA
10	"PGS"	"MJ"	90	0.974	0.22	0	0.2	NA
10	"PGS"	"MN"	NA	NA	0.1	0	0.2	1
10	"PGS"	"MN"	NA	NA	0.1	0	0.2	2
10	"PGS"	"MS"	340	0.974	0.0305	0	0.2	NA
11	"CML"	"FA"	5000	0	0.063	0	1	NA
11	"CML"	"FJ"	370	0	0.28	0	1	NA
11	"CML"	"FS"	2190	0	0.03	0	1	NA
11	"CML"	"MA"	5000	0.004	0.063	0	1	NA
11	"CML"	"MJ"	370	0	0.28	0	1	NA
11	"CML"	"MS"	2190	0.496	0.03	0	1	NA
12	"CML"	"FA"	5000	0	0.06	0	0	NA
12	"CML"	"FJ"	365	0	0.2	0	0	NA
12	"CML"	"FS"	1280	0	0.03	0	0	NA
12	"CML"	"MA"	5000	0.004	0.06	0	0	NA
12	"CML"	"MJ"	365	0	0.2	0	0	NA
12	"CML"	"MS"	1280	0.5	0.03	0	0	NA
